vocsize,bias,fpr,tpr,acc
100,-8.0,0.0005,0.4645,73.2
200,-8.0,0.001,0.569,78.4
400,-8.0,0.0005,0.6485,82.4
800,-8.0,0.0005,0.697,84.82
1000,-8.0,0.0005,0.718,85.88
2000,-8.0,0.001,0.733,86.6
4000,-8.0,0.001,0.7465,87.28
8000,-8.0,0.0,0.7465,87.32
100,-7.0,0.0005,0.5505,77.5
200,-7.0,0.002,0.6425,82.02
400,-7.0,0.0015,0.7205,85.95
800,-7.0,0.002,0.7745,88.62
1000,-7.0,0.0025,0.7875,89.25
2000,-7.0,0.002,0.8095,90.38
4000,-7.0,0.003,0.8175,90.72
8000,-7.0,0.001,0.8215,91.02
100,-6.0,0.0025,0.63,81.38
200,-6.0,0.005,0.7095,85.22
400,-6.0,0.0055,0.7845,88.95
800,-6.0,0.0045,0.837,91.62
1000,-6.0,0.0045,0.8435,91.95
2000,-6.0,0.003,0.863,93.0
4000,-6.0,0.0035,0.8775,93.7
8000,-6.0,0.0025,0.8725,93.5
100,-5.0,0.0055,0.7065,85.05
200,-5.0,0.0065,0.787,89.02
400,-5.0,0.0085,0.8375,91.45
800,-5.0,0.007,0.882,93.75
1000,-5.0,0.0055,0.8925,94.35
2000,-5.0,0.004,0.8985,94.72
4000,-5.0,0.0045,0.9055,95.05
8000,-5.0,0.004,0.9075,95.18
100,-4.0,0.0105,0.7665,87.8
200,-4.0,0.0155,0.841,91.28
400,-4.0,0.015,0.8825,93.38
800,-4.0,0.012,0.912,95.0
1000,-4.0,0.01,0.921,95.55
2000,-4.0,0.0085,0.93,96.08
4000,-4.0,0.008,0.9375,96.48
8000,-4.0,0.0075,0.9395,96.6

